official_name,level,speakers,country,official,regional,minority,national,widely_spoken,country_count,max_urbanization,max_internet_use
Tuscarora,Critically Endangered,3,United States;Canada,0,0,0,0,0,2,83.298,94.0
Tutuba,Threatened,120,Vanuatu,0,0,0,0,0,1,25.976,45.7
Tuva,At risk,242754,Russian Federation;China;Mongolia,1,0,0,1,0,3,75.331,92.2
Tuvaluan,Vulnerable,9000,Nauru;New Zealand;Fiji;Kiribati;Tuvalu,1,0,0,1,0,5,100.0,96.2
Tuwari,Severely Endangered,90,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Tuwuli,Vulnerable,11000,Ghana,0,0,0,0,0,1,59.238,69.9
Twendi,Severely Endangered,30,Cameroon,0,0,0,0,0,1,59.315,41.9
Tz'utujil,Vulnerable,47669,Guatemala,0,0,0,0,0,1,53.098,56.1
Tzeltal,At risk,261084,Mexico,0,0,0,0,0,1,81.582,81.2
Tzotzil,At risk,229203,Mexico,0,0,0,0,0,1,81.582,81.2
U,Threatened,40000,China,98,67,75,50,36,1,64.57,77.5
Uab Meto,At risk,700000,Indonesia,0,0,0,0,0,1,58.572,69.2
Ubi,Vulnerable,1500,Chad,0,1,0,0,0,1,24.366,13.2
Uda,Threatened,10000,Nigeria,0,0,0,0,1,1,54.283,39.2
Udege,Critically Endangered,100,Russian Federation,0,0,0,0,0,1,75.331,92.2
Udi,Endangered,5500,Russian Federation;Azerbaijan;Georgia,0,0,0,0,0,3,75.331,92.2
Udmurt,Threatened,324338,Russian Federation,0,0,0,0,0,1,75.331,92.2
Ugong,Critically Endangered,50,Thailand,0,0,0,0,0,1,53.608,89.5
Uisai,Threatened,2500,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Ujir,Endangered,980,Indonesia,0,0,0,0,0,1,58.572,69.2
Ukit,Endangered,120,Malaysia,0,0,0,0,0,1,78.716,97.7
Ukuriguma,Endangered,170,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Ukwa,Endangered,100,Nigeria,0,0,0,0,0,1,54.283,39.2
Ulau-Suain,Threatened,1271,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Ulch,Critically Endangered,1000,Russian Federation,0,0,0,0,0,1,75.331,92.2
Ulwa,Severely Endangered,600,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Uma' Lung,Threatened,3000,Indonesia,0,0,0,0,0,1,58.572,69.2
Umbugarla,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
Umbuygamu,Critically Endangered,7,Australia,0,0,0,0,0,1,86.617,97.1
Ume Saami,Critically Endangered,20,Sweden,0,0,0,0,0,1,88.738,95.7
Umiida,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
Umpila,Critically Endangered,3,Australia,0,0,0,0,0,1,86.617,97.1
Umpithamu,Critically Endangered,2,Australia,0,0,0,0,0,1,86.617,97.1
Unami,Extinct,0,United States,0,0,0,0,0,1,83.298,93.1
Unggarranggu,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
Unggumi,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
Upland Yuman,Threatened,1650,United States,0,0,0,0,0,1,83.298,93.1
Upper Kuskokwim,Critically Endangered,25,United States,0,0,0,0,0,1,83.298,93.1
Upper Silesian,Vulnerable,56000,Poland,0,0,0,0,0,1,60.218,86.4
Upper Sorbian,Vulnerable,18240,Germany,0,1,1,0,0,1,77.765,92.5
Upper Southeastern Chinantec,Threatened,3140,Mexico,0,0,0,0,0,1,81.582,81.2
Upper Tanana,Critically Endangered,55,United States;Canada,0,0,0,0,0,2,83.298,94.0
Upper West-Central Chinantec,Threatened,7410,Mexico,0,0,0,0,0,1,81.582,81.2
Ura (Papua New Guinea),Threatened,1900,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Ura (Vanuatu),Critically Endangered,6,Vanuatu,0,0,0,0,0,1,25.976,45.7
Uradhi,Critically Endangered,2,Australia,0,0,0,0,0,1,86.617,97.1
Urapmin,Endangered,370,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Urarina,Threatened,2000,Peru,0,0,0,0,0,1,78.922,79.5
Urat,Threatened,6280,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Urim,Threatened,2538,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Urimo,Endangered,835,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Urmia Northeastern Neo-Aramaic,Vulnerable,20560,"Iran, Islamic Rep.",0,0,0,0,0,1,77.257,79.6
Urningangga,Severely Endangered,10,Australia,0,0,0,0,0,1,86.617,97.1
Uru,Extinct,0,Bolivia,3,0,0,0,0,1,71.186,70.2
Uruangnirin,Endangered,400,Indonesia,0,0,0,0,0,1,58.572,69.2
Uruava,Extinct,0,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Urubú-Kaapor Sign Language,Critically Endangered,7,Brazil,0,0,0,0,0,1,87.788,84.2
Uruewawau,Endangered,183,Brazil,0,0,0,0,0,1,87.788,84.2
Uruguayan Sign Language,Threatened,7000,Uruguay,1,0,0,0,0,1,95.771,89.9
Ushojo,Threatened,1000,Pakistan,0,0,0,0,0,1,38.04,27.4
Uspanteko,Threatened,1231,Guatemala,0,0,0,0,0,1,53.098,56.1
Ute,Endangered,3500,United States,0,0,0,0,0,1,83.298,93.1
