glottocode,language_name,lang_family,endangerment_level,lang_family_count,domains_of_use,speaker_number,speaker_number_trends,transmission,elcat_endangerment,country_count,max_gdp_percapita,avg_gdp_percapita,max_internet,avg_internet,max_urban,avg_urban,max_urban_growth,avg_urban_growth,official,regional,national,minority,widely_spoken,area_Africa,area_Australia,area_Eurasia,area_North America,area_Papunesia,area_South America
muni1258,Muniche,,5,0.0,,,,,dormant,1,8452.37167056621,8452.37167056621,81.95705992,81.95705992,85.1912729600355,85.1912729600355,1.57651042813743,1.57651042813743,0,0,0,0,0,0,0,0,0,0,1
taia1239,Taiap,,3,0.0,,4,,3,severely endangered,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
chim1301,Chimariko,,5,0.0,,,,,,1,84534.0407841548,84534.0407841548,94.69380188,94.69380188,80.1247798047184,80.1247798047184,1.04286346807884,1.04286346807884,0,0,0,0,0,0,0,0,1,0,0
klam1254,Klamath-Modoc,,5,0.0,,,,,awakening,1,84534.0407841548,84534.0407841548,94.69380188,94.69380188,80.1247798047184,80.1247798047184,1.04286346807884,1.04286346807884,0,0,0,0,0,0,0,0,1,0,0
yuru1243,Yurumanguí,,5,0.0,,,,,,1,7919.20886825345,7919.20886825345,79.34543299,79.34543299,78.5210811866115,78.5210811866115,1.3876355674663,1.3876355674663,0,0,0,0,0,0,0,0,0,0,1
coah1252,Coahuilteco,,5,0.0,,,,,,1,14185.7812248529,14185.7812248529,83.12233799,83.12233799,79.7538805976118,79.7538805976118,1.2127000253117,1.2127000253117,0,0,0,0,0,0,0,0,1,0,0
cayu1262,Cayubaba,,5,0.0,,,,,dormant,1,4421.16609889999,4421.16609889999,79.70469666,79.70469666,71.2361453773988,71.2361453773988,1.82370068528301,1.82370068528301,1,0,0,0,0,0,0,0,0,0,1
yama1264,Yámana,,5,0.0,,,,,dormant,1,16709.8893972307,16709.8893972307,95.590243,95.590243,88.9950908479196,88.9950908479196,0.739019575786262,0.739019575786262,0,0,0,0,0,0,0,0,0,0,1
kunz1244,Kunza,,5,0.0,,,,,,1,16709.8893972307,16709.8893972307,95.590243,95.590243,88.9950908479196,88.9950908479196,0.739019575786262,0.739019575786262,0,0,0,0,0,0,0,0,0,0,1
shom1245,Shom Peng,,1,0.0,,3,,1,threatened,1,2694.73780859961,2694.73780859961,64.9434967,64.9434967,35.3788972368389,35.3788972368389,1.77423382325139,1.77423382325139,0,0,0,0,0,0,0,1,0,0,0
iber1250,Iberian,,5,0.0,,,,,,1,35326.7683069278,35326.7683069278,95.7574516,95.7574516,80.315199821207,80.315199821207,1.25395229298248,1.25395229298248,0,0,0,0,0,0,0,1,0,0,0
bira1253,Ongota,,4,0.0,5,5,,5,critically endangered,1,1133.88279681719,1133.88279681719,21.94129944,21.94129944,23.6222839355469,23.6222839355469,4.99846973014755,4.99846973014755,0,0,0,0,0,1,0,0,0,0,0
lule1238,Lule,,5,0.0,,,,,,1,13969.7836603737,13969.7836603737,89.66715228,89.66715228,92.2742315972952,92.2742315972952,0.432261342079918,0.432261342079918,0,1,0,0,0,0,0,0,0,0,1
yele1255,Yele,,1,0.0,,2,,,threatened,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
